,0,1,2,3
0,202001,미  국,275,67255
1,202002,미  국,275,42439
2,202003,미  국,275,10570
3,202004,미  국,275,6417
4,202005,미  국,275,8735
5,202006,미  국,275,9717
6,202007,미  국,275,11922
7,202008,미  국,275,13368
8,202009,미  국,275,12426
9,202010,미  국,275,12366
10,202011,미  국,275,13100
11,202012,미  국,275,12102
12,202101,미  국,275,12013
13,202102,미  국,275,11212
14,202103,미  국,275,12321
15,202104,미  국,275,12944
16,202105,미  국,275,17278
17,202106,미  국,275,18159
18,202107,미  국,275,21775
19,202108,미  국,275,20561
20,202109,미  국,275,19227
21,202110,미  국,275,21607
22,202111,미  국,275,20123
23,202112,미  국,275,16805
24,202201,미  국,275,15570
25,202202,미  국,275,15845
26,202203,미  국,275,16968
27,202204,미  국,275,30882
28,202205,미  국,275,42490
29,202206,미  국,275,55444
30,202207,미  국,275,53942
31,202208,미  국,275,50299
32,202209,미  국,275,60435
33,202210,미  국,275,73560
34,202211,미  국,275,64861
35,202212,미  국,275,63352
